idtabla,fechaventa,agente,supervisor,SUCURSAL,REGION,paquete_vendido,id_paquete,precio,TipoServicio,fecha
176578,2025-06-02 10:20:47,5769,4714,Cd. Zamora,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176579,2025-06-02 10:20:47,4714,4714,Cd. Zamora,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176580,2025-06-02 10:21:51,5672,5380,Tlajomulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176581,2025-06-02 10:21:51,5380,5380,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176582,2025-06-02 10:26:33,5882,3942,Tarimbaro,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176583,2025-06-02 10:27:45,5877,5720,Zacoalco de Torres,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176584,2025-06-02 10:27:45,5720,5720,Zacoalco de Torres,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176587,2025-06-02 10:27:56,5399,3942,Martinez de la Torre,GOLFO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176588,2025-06-02 10:27:56,5765,3942,Martinez de la Torre,GOLFO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176589,2025-06-02 10:28:25,5769,4714,Zacoalco de Torres,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176590,2025-06-02 10:38:52,5130,5468,San Mateo Atenco,CENTRO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176591,2025-06-02 10:40:37,5882,3942,Cd. Colima,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176592,2025-06-02 10:40:37,4125,3942,Cd. Colima,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176593,2025-06-02 10:40:54,5646,4533,Chapala,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176594,2025-06-02 10:40:54,5646,4533,Chapala,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176595,2025-06-02 10:40:54,5572,4533,Chapala,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176596,2025-06-02 10:44:19,5843,5380,Tepatlaxco,SURESTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176597,2025-06-02 10:44:19,5380,5380,Tepatlaxco,SURESTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176598,2025-06-02 10:45:16,5785,3942,Ocotlán,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176599,2025-06-02 10:45:16,5765,3942,Ocotlán,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176600,2025-06-02 10:45:31,5526,5468,Tlajomulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176601,2025-06-02 10:45:31,5758,5468,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176602,2025-06-02 10:46:06,5602,3942,Cd. Colima,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176603,2025-06-02 10:46:06,3942,3942,Cd. Colima,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176604,2025-06-02 10:49:33,5771,4533,Zacoalco de Torres,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176605,2025-06-02 10:49:33,5572,4533,Zacoalco de Torres,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176606,2025-06-02 10:50:18,5621,5468,Ocotlán,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176607,2025-06-02 10:50:19,5468,5468,Ocotlán,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176608,2025-06-02 10:53:16,5395,4714,Matamoros,NORTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176609,2025-06-02 10:55:31,5817,3942,Tepatlaxco,SURESTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176610,2025-06-02 10:55:31,4125,3942,Tepatlaxco,SURESTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176611,2025-06-02 10:56:05,4994,4714,Cd. Zamora,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176612,2025-06-02 10:56:25,5130,5468,CD Guzman,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176613,2025-06-02 10:56:25,5805,5468,CD Guzman,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176614,2025-06-02 10:56:28,3940,5380,Cd. La Piedad,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176615,2025-06-02 10:56:28,5590,5380,Cd. La Piedad,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176616,2025-06-02 10:56:40,5532,4714,Ocotlán,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176617,2025-06-02 10:56:40,4714,4714,Ocotlán,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176618,2025-06-02 10:57:19,5882,3942,Juventino,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176619,2025-06-02 10:57:19,5765,3942,Juventino,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176620,2025-06-02 11:00:55,4952,4533,Nanacamilpa,SURESTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176621,2025-06-02 11:00:55,5572,4533,Nanacamilpa,SURESTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176622,2025-06-02 11:01:18,5806,5468,Martinez de la Torre,GOLFO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176623,2025-06-02 11:01:18,5758,5468,Martinez de la Torre,GOLFO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176624,2025-06-02 11:03:24,5881,3942,Cd. La Piedad,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176625,2025-06-02 11:04:36,5395,4714,Ahualulco,OCCIDENTE,MEGAS ASCENSO 0,87,0.0,Ascenso internet,2025-06-02
176626,2025-06-02 11:04:37,5575,4714,Ahualulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176627,2025-06-02 11:05:56,5817,3942,Cd. La Piedad,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176628,2025-06-02 11:07:55,5855,4714,Zapopan,OCCIDENTE,CAJA ADICIONAL HD Y XVIEW 0,91,0.0,XVIEW,2025-06-02
176629,2025-06-02 11:10:33,5873,5720,La Peñita,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176630,2025-06-02 11:10:33,5873,5720,La Peñita,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176631,2025-06-02 11:10:33,5720,5720,La Peñita,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176632,2025-06-02 11:11:14,5360,5468,Acapulco,CENTRO,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176633,2025-06-02 11:11:14,5805,5468,Acapulco,CENTRO,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176634,2025-06-02 11:15:28,5861,5468,Tarimbaro,TCO,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176635,2025-06-02 11:15:28,5468,5468,Tarimbaro,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176636,2025-06-02 11:18:59,5882,3942,Martinez de la Torre,GOLFO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176637,2025-06-02 11:18:59,4125,3942,Martinez de la Torre,GOLFO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176638,2025-06-02 11:19:04,5817,3942,Cd. Zihuatanejo,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176639,2025-06-02 11:27:21,5526,5468,Tarimbaro,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176640,2025-06-02 11:27:21,5758,5468,Tarimbaro,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176641,2025-06-02 11:29:49,5886,5380,Cd. Zihuatanejo,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176642,2025-06-02 11:29:49,5590,5380,Cd. Zihuatanejo,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176643,2025-06-02 11:31:47,4994,4549,Ahualulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176644,2025-06-02 11:40:26,5855,4714,Cd. La Piedad,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176645,2025-06-02 11:41:17,5575,4714,Matamoros,NORTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176646,2025-06-02 11:41:17,4714,4714,Matamoros,NORTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176647,2025-06-02 11:44:13,5526,5468,Jacona,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176648,2025-06-02 11:48:35,5872,5720,Ocotlán,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176649,2025-06-02 11:48:35,5720,5720,Ocotlán,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176650,2025-06-02 11:48:52,5420,3942,Martinez de la Torre,GOLFO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176651,2025-06-02 11:48:52,3942,3942,Martinez de la Torre,GOLFO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176652,2025-06-02 11:56:08,5847,3942,Tonalá,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176653,2025-06-02 11:56:08,4125,3942,Tonalá,OCCIDENTE,MEGAS ASCENSO 0,87,0.0,Ascenso internet,2025-06-02
176654,2025-06-02 12:00:26,5130,5468,Ocotlán,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176655,2025-06-02 12:00:26,5468,5468,Ocotlán,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176656,2025-06-02 12:04:06,5872,5720,Martinez de la Torre,GOLFO,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176657,2025-06-02 12:04:06,5872,5720,Martinez de la Torre,GOLFO,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176658,2025-06-02 12:07:23,5855,4714,Tarimbaro,TCO,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176659,2025-06-02 12:07:23,5575,4714,Tarimbaro,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176660,2025-06-02 12:08:49,5858,4714,Nanacamilpa,SURESTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176661,2025-06-02 12:08:49,5380,5380,Nanacamilpa,SURESTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176662,2025-06-02 12:11:29,5246,3942,Martinez de la Torre,GOLFO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176663,2025-06-02 12:11:29,5246,3942,Martinez de la Torre,GOLFO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176664,2025-06-02 12:13:09,5817,3942,Tarimbaro,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176665,2025-06-02 12:13:09,5758,5468,Tarimbaro,TCO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176666,2025-06-02 12:19:23,5871,5720,Tala,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176667,2025-06-02 12:19:23,5720,5720,Tala,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176668,2025-06-02 12:20:27,5532,4714,Cd. Uruapan,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176669,2025-06-02 12:22:36,5844,5380,Cd. Guadalajara,OCCIDENTE,PLAN ALTAN 150 150,78,150.0,MEGAMOVIL,2025-06-02
176670,2025-06-02 12:22:36,5590,5380,Cd. Guadalajara,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176671,2025-06-02 12:25:28,5735,4533,Tlajomulco,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176672,2025-06-02 12:25:28,5704,4533,Tlajomulco,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176673,2025-06-02 12:25:46,5881,3942,Silao,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176674,2025-06-02 12:25:59,5855,4714,Ocotlán,OCCIDENTE,PLAN AT&T 150 150,62,150.0,MEGAMOVIL,2025-06-02
176675,2025-06-02 12:30:44,5399,3942,Cd. León,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176676,2025-06-02 12:30:44,4125,3942,Cd. León,BAJIO,MEGAS ASCENSO 0,87,0.0,Ascenso internet,2025-06-02
176677,2025-06-02 12:33:14,5847,3942,Acambaro,TCO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176678,2025-06-02 12:33:14,5847,3942,Acambaro,TCO,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176679,2025-06-02 12:36:06,5769,4714,Tlaquepaque,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176680,2025-06-02 12:36:06,5695,5380,Tlaquepaque,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176681,2025-06-02 12:37:15,5871,5720,Tonalá,OCCIDENTE,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176682,2025-06-02 12:37:15,5720,5720,Tonalá,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176683,2025-06-02 12:42:15,5526,5468,San Mateo Atenco,CENTRO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176684,2025-06-02 12:42:15,5468,5468,San Mateo Atenco,CENTRO,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
176685,2025-06-02 12:43:55,5847,3942,Silao,BAJIO,NETFLIX ANUNCIOS 80 80,101,80.0,NETFLIX,2025-06-02
176686,2025-06-02 12:44:01,5542,4533,Cd. Colima,OCCIDENTE,MAX BASICO 60 60,100,60.0,HBO,2025-06-02
176687,2025-06-02 12:44:01,5704,4533,Cd. Colima,OCCIDENTE,FOXSPORT PREMIUM 149 149,81,149.0,FOX,2025-06-02
